,song,artist
0,Life Goes On,BTS
1,Mood,24kGoldn Featuring iann dior
2,Dynamite,BTS
3,Positions,Ariana Grande
4,I Hope,Gabby Barrett Featuring Charlie Puth
5,Holy,Justin Bieber Featuring Chance The Rapper
6,Laugh Now Cry Later,Drake Featuring Lil Durk
7,Monster,Shawn Mendes & Justin Bieber
8,Blinding Lights,The Weeknd
9,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
10,Therefore I Am,Billie Eilish
11,Body,Megan Thee Stallion
12,Blue & Grey,BTS
13,All I Want For Christmas Is You,Mariah Carey
14,Dakiti,Bad Bunny & Jhay Cortez
15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
16,Go Crazy,Chris Brown & Young Thug
17,Kings & Queens,Ava Max
18,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
19,More Than My Hometown,Morgan Wallen
20,Rockin' Around The Christmas Tree,Brenda Lee
21,Stay,BTS
22,WAP,Cardi B Featuring Megan Thee Stallion
23,Levitating,Dua Lipa Featuring DaBaby
24,Somebody's Problem,Morgan Wallen
25,Rockstar,DaBaby Featuring Roddy Ricch
26,Be Like That,Kane Brown With Swae Lee & Khalid
27,Before You Go,Lewis Capaldi
28,Bang!,AJR
29,34+35,Ariana Grande
30,Jingle Bell Rock,Bobby Helms
31,Lonely,Justin Bieber & benny blanco
32,ily,surf mesa Featuring Emilee
33,Said Sum,Moneybagg Yo
34,Hawai,Maluma & The Weeknd
35,Watermelon Sugar,Harry Styles
36,It's The Most Wonderful Time Of The Year,Andy Williams
37,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
38,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
39,One Of Them Girls,Lee Brice
40,What You Know Bout Love,Pop Smoke
41,Last Christmas,Wham!
42,Pretty Heart,Parker McCollum
43,Happy Anywhere,Blake Shelton Featuring Gwen Stefani
44,Feliz Navidad,Jose Feliciano
45,Still Goin Down,Morgan Wallen
46,Better Together,Luke Combs
47,The Christmas Song (Merry Christmas To You),Nat King Cole
48,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
49,Love You Like I Used To,Russell Dickerson
50,"Big, Big Plans",Chris Lane
51,Starting Over,Chris Stapleton
52,Forever After All,Luke Combs
53,Prisoner,Miley Cyrus Featuring Dua Lipa
54,Holiday,Lil Nas X
55,Diamonds,Sam Smith
56,Wonder,Shawn Mendes
57,I Should Probably Go To Bed,Dan + Shay
58,7 Summers,Morgan Wallen
59,Come & Go,Juice WRLD x Marshmello
60,Ain't Always The Cowboy,Jon Pardi
61,Don't Stop,Megan Thee Stallion Featuring Young Thug
62,You Broke Me First.,Tate McRae
63,pov,Ariana Grande
64,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
65,Whoopty,CJ
66,My Ex's Best Friend,Machine Gun Kelly X blackbear
67,B.S.,Jhene Aiko Featuring H.E.R.
68,Fly To My Room,BTS
69,Telepathy,BTS
70,Cry Baby,Megan Thee Stallion Featuring DaBaby
71,Dis-ease,BTS
72,Took Her To The O,King Von
73,Throat Baby (Go Baby),BRS Kash
74,Midnight Sky,Miley Cyrus
75,Champagne Night,Lady A
76,Tyler Herro,Jack Harlow
77,Franchise,Travis Scott Featuring Young Thug & M.I.A.
78,Good Time,Niko Moon
79,Girls In The Hood,Megan Thee Stallion
80,Golden,Harry Styles
81,Shots Fired,Megan Thee Stallion
82,Livin' The Dream,Morgan Wallen
83,Hit Different,SZA Featuring Ty Dolla $ign
84,Back To The Streets,Saweetie Featuring Jhene Aiko
85,Pain Away,Meek Mill Featuring Lil Durk
86,Hole In The Bottle,Kelsea Ballerini
87,U 2 Luv,Ne-Yo & Jeremih
88,Martin & Gina,Polo G
89,Drankin N Smokin,Future & Lil Uzi Vert
90,Wishing Well,Juice WRLD
91,Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg
92,Some Girls,Jameson Rodgers
93,Circles,Megan Thee Stallion
94,Put Your Records On,Ritt Momney
95,Popstar,DJ Khaled Featuring Drake
96,Bichota,Karol G
97,Happy Does,Kenny Chesney
98,Cover Me Up,Morgan Wallen
99,So Done,The Kid LAROI
0,POSITIONS,ARIANA GRANDE
1,THEREFORE I AM,BILLIE EILISH
2,SWEET MELODY,LITTLE MIX
3,SEE NOBODY,WES NELSON & HARDY CAPRIO
4,LEVITATING,DUA LIPA
5,YOU BROKE ME FIRST,TATE MCRAE
6,MIDNIGHT SKY,MILEY CYRUS
7,PRISONER,MILEY CYRUS FT DUA LIPA
8,MONSTER,SHAWN MENDES & JUSTIN BIEBER
9,LIFE GOES ON,BTS
10,REALLY LOVE,KSI/CRAIG DAVID/DIGITAL FARM
11,WHOOPTY,CJ
13,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
14,MOOD,24KGOLDN FT IANN DIOR
15,TRAIN WRECK,JAMES ARTHUR
16,DIAMONDS,SAM SMITH
17,PARADISE,MEDUZA FT DERMOT KENNEDY
18,HEAD & HEART,JOEL CORRY FT MNEK
19,LAST CHRISTMAS,WHAM
20,POV,ARIANA GRANDE
21,LEMONADE,INTERNET MONEY/GUNNA/TOLIVER
22,LONELY,JUSTIN BIEBER & BENNY BLANCO
23,GET OUT MY HEAD,SHANE CODD
24,WONDER,SHAWN MENDES
25,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
26,GOLDEN,HARRY STYLES
27,GIANTS,DERMOT KENNEDY
28,WHAT YOU KNOW BOUT LOVE,POP SMOKE
29,SUNFLOWER,POST MALONE FT SWAE LEE
30,I MISS U,JAX JONES FT AU/RA
31,UFO,D-BLOCK EUROPE FT AITCH
32,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
33,LOADING,CENTRAL CEE
34,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
35,BLINDING LIGHTS,WEEKND
36,DYNAMITE,BTS
37,DO THEY KNOW IT'S CHRISTMAS,BAND AID
38,PLUGGED IN FREESTYLE,FUMEZ THE ENGINEER/A92/OFFICA
39,HOLY,JUSTIN BIEBER FT CHANCE
41,HOLIDAY,LIL NAS X
42,PRINCESS CUTS,HEADIE ONE FT YOUNG T & BUGSEY
43,FLAVOUR,LOSKI & STORMZY
44,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX
45,UNDERNEATH THE TREE,KELLY CLARKSON
46,LASTING LOVER,SIGALA & JAMES ARTHUR
47,ROCKIN' AROUND THE CHRISTMAS TREE,JUSTIN BIEBER
48,STEP INTO CHRISTMAS,ELTON JOHN
49,COME OVER,RUDIMENTAL/ANNE-MARIE/TION
50,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY
53,CHINGY (IT'S WHATEVER),DIGGA D
54,DRIVING HOME FOR CHRISTMAS,CHRIS REA
56,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN
57,SO DONE,KID LAROI
58,ONE TOO MANY,KEITH URBAN & PINK
59,TAKE YOU DANCING,JASON DERULO
60,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD
61,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO
62,THIS CHRISTMAS,JESS GLYNNE
63,WATERMELON SUGAR,HARRY STYLES
64,MOVE ON,LIL TJAY
65,BLUE & GREY,BTS
66,MOOD SWINGS,POP SMOKE FT LIL TJAY
67,DELUDED,TION WAYNE FT MIST
68,MERRY XMAS EVERYBODY,SLADE
69,SOMEONE YOU LOVED,LEWIS CAPALDI
70,LIGHTER,NATHAN DAWE FT KSI
71,ONE MORE SLEEP,LEONA LEWIS
72,HEAT WAVES,GLASS ANIMALS
73,PAPI CHULO,OCTAVIAN & SKEPTA
74,CONFETTI,LITTLE MIX
75,DANCE MONKEY,TONES & I
76,DON'T CRY,BUGZY MALONE & DERMOT KENNEDY
77,A LITTLE LOVE,CELESTE
78,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS
79,BODY,MEGAN THEE STALLION
80,STRAIGHT MURDER (GIGGS & DAVID),GIGGS FT DAVE
81,THE BUSINESS,TIESTO
82,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY
83,DREAMS,FLEETWOOD MAC
84,ALL GIRLS ARE THE SAME,JUICE WRLD
85,JINGLE BELL ROCK,BOBBY HELMS
86,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND
87,MARTIN & GINA,POLO G
88,TOO MANY NIGHTS,220 KID & JC STEWART
89,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY
90,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE
91,ROCKSTAR,DABABY FT RODDY RICCH
92,STOP CRYING YOUR HEART OUT,BBC CHILDREN IN NEED
93,KATE WINSLET,NSG FT UNKNOWN T
94,LOVE NOT WAR (THE TAMPA BEAT),JASON DERULO & NUKA
95,SOMEONE TO YOU,BANNERS
96,LOVE IS A COMPASS,GRIFF
97,PUT YOUR RECORDS ON,RITT MOMNEY
98,NEVER REALLY MINE,DUTCHAVELLI
99,BEFORE YOU GO,LEWIS CAPALDI
0,Hold Up,Late Replies
1,Castles In The Sky,i_o
2,Home,Solomun
3,Work It,Kevin McKay
4,"The Answer (feat. Arthur Baker, Victor Simonelli)",Milos Pesovic
5,Strange World,Armand Van Helden
6,Thin Line,Chris Lake
7,VIBRATION,Push
8,You Need The Drugs,John Summit
9,Witching Hour,GUZ (NL)
10,Acid Worldwide,DONT BLINK
11,Nothingness,Westbam
12,More Life (feat. Tinie Tempah & L Devine),Richard Butler
13,Injection,CamelPhat
14,Alive,Will Easton
15,Dustpig,LO'99
16,Tornado,Alignment
17,Inter,Tinie Tempah
18,Your Lovin',Torren Foot
19,Turn Back Time,L Devine
20,Best of Me feat. Sailor & I,Alignment
21,Children,PAX
22,Paradise Lost,Gorgon City
23,Hit the Target,Fabrication
24,Set You Free feat. Faber,Volkoder
25,Phobos,Sam Supplier
26,You,Cassian
27,Let It Go feat. Marc E. Bassy,Yotto
28,So Hooked On Your Lovin,Christian Smith
29,Overnight Express,Diplo
30,La La Land,Sonny Fodera
31,Cloud,Sailor & I
32,Honey feat. Matthew Dear,ARTBAT
33,Closer,Robert Miles
34,Mute Navigator,Tinlicker
35,Mars's Moon,Pig&Dan
36,Fur,Victor Ruiz
37,R U,Break
38,Consciousness,DLR
39,Planet X,Maur
40,Suga,Space 92
41,Lose My Breath,Charles D (USA)
42,Synthesizer (feat. Nathan Ball),Louie Vega
43,Grains,The Martinez Brothers
44,Ultimate Distortion,Marc E. Bassy
45,Message,Selace
46,Feeling Good,sp:mc
47,I Was Blind Feat. Phonic Youth,Workforce
48,That Jazz Feeling,Green Velvet
49,Sea Parade,Gruuve
50,Watch Where You Walk,Matthew Dear
51,In Village,Dense & Pika
52,All 4 Love (feat. Tasty Lopez),Jaden Thompson
53,Reverberated,Nick Curly
54,Erotic Soul,Innellea
55,I Will Survive,Endor
56,Unlustrous,Gene Farris
57,Endurance,ATFC
58,Adrenaline,Pig&Dan
59,Thunder & Lightning,Victor Ruiz
60,I Like To Party,The YellowHeads
61,Take A Step Back,Space 92
62,Say Hello,Technasia
63,Face,Green Velvet
64,Out In The Streets (Voltage Remix),Moreno Pezzolato
65,Jupiter,Faithless
66,Deep End,Nathan Ball
67,Sensory Deprivation,Cassian
68,Dance with My Ghost,Yotto
69,Voyage,Alan Fitzpatrick
70,Hiding,Rebuke
71,The Andor Voyage,UMEK
72,Explorer,Mark Reeve
73,The Business,Javi Colors
74,Body Control,Dr. Alfred
75,Apricots,Phonic Youth
76,Santiago,Haddadi Von Engst
77,Too Much Change,T.Markakis
78,Your Loss,Tim Green
79,Propane,Dennis Cruz
80,Groove,Rossi.
81,Urania,Mark Knight
82,Paradise,Rene Amesz
83,Five,Tasty Lopez
84,Just Be Good To Me,Alignment
85,Khimiya,Gorge
86,I Wish You Were Here Feat. Nkemdi,Marc Palacios
87,Pump up the Jam,DJ Kone
88,Rush,Alix Perez
89,Miracles,Halogenix
90,One Mind,Einmusik
91,Welcome To My House,Stereo Express
92,Mona Ki Ngi Xica,Amelie Lens
93,Madagascar,Airod
94,Save My Life (feat. Lovespeake),Lee Foss
95,Come Together,Detlef
96,IS LIKE,Anabel Englund
98,Wreckage,Dr. Fresch
99,We Never Slow Down,MARTEN HØRGER
0,Ge Upp Igen,Miriam Bryant
1,Starkare,Yasin
3,Svag,24Kgoldn
4,All I Want For Christmas Is You ,Iann Dior
6,Head & Heart,Mariah Carey
7,Judy Min Vän,Billie Eilish
10,Säg Mig Var Du Står,Benjamin Ingrosso
11,Jag Mår Bra Nu,Shawn Mendes
13,Långsamt Farväl,Wham!
14,Långt Bort Härifrån,Zara Larsson
15,You Broke Me First,Carola
17,Komplicerad,Newkid
18,Tänd Alla Ljus,Internet Money
24,Salsa,Pop Smoke
25,Train Wreck,Miss Li
26,It's Beginning To Look A Lot Like Christmas,Benjamin Ingrosso
27,Glad För Din Skull,Justin Bieber
28,En Säng Av Rosor,Benny Blanco
29,Hkf (håll Käften & Försvinn),The Weeknd
31,Loverman,Miley Cyrus
32,Tänd Ett Ljus,Dua Lipa
33,När Jag Ser Dig,DJ Tiësto
34,Santa Tell Me,Yei Gonzalez
35,Fly Away,Odz
36,Head Shoulders Knees & Toes,1Cuz
41,Ditt Fel,Myra Granberg
42,100,Justin Bieber
43,Det Kommer Bli Bra,Chance The Rapper
44,Savage Love (laxed - siren beat),Mwuana
45,Dum,Triad
48,Babblarnas Vaggvisa,Tones and I
49,Bedövning,Ofenbach
51,Hey Ho,Norma Jean Martine
52,Galen,Jose Feliciano
53,Someone You Loved,Bobby Helms
54,Breaking Me,Cj
55,Julen Är Här,Pop Smoke
56,Kanske Var Vi Rätt Bra ändå,Miriam Bryant
57,Stad I Ljus,Jireel
58,Vi Gjorde Vårt Bästa,Ana Diaz
59,Mistletoe,Laleh
60,Wap,Jawsh 685
62,Let It Snow! Let It Snow! Let It Snow!,Bolaget
64,Only Your Heart,Harry Styles
65,Mer Jul,Babblarna
66,Hiphop N Rnb,Victor Leksell
67,Se På Mig (crunk Rock),Miley Cyrus
68,Lev Nu Dö Sen,Freddy Kalas
69,Young & Heartless,Maximus
70,Fingers Crossed,Lewis Capaldi
71,Hawaí - Remix,Topic
72,Pippi,A7S
73,Fairytale Of New York,Körberg Tommy
74,Askan är Den Bästa Jorden,Sissel Kyrkjebö
75,Välkommen Hem,Newkid
76,Rave I Mitt Garage,Silvana Imam
77,Driving Home For Christmas,Marzena
78,Do They Know Its Christmas?,Albin Johnsén
80,Du Med Dig,Justin Bieber
83,Dance Monkey,Dababy
85,Bless Me,Frank Sinatra
87,Pov,Benjamin Ingrosso
88,Rosa Himmel,Adolphson-falk
89,My Head & My Heart,Yasin
90,Blåmärkshårt (mi Amor),Albatraoz
91,Take My Hand,Miss Li
92,Happy Xmas (war Is Over),Yasin
93,"Come Whatever, Come What May",Agnes
94,Mood Swings,Maluma
96,Love Not War (the Tampa Beat),Dree Low
97,Giants,The Pogues
0,Dicked Down in Dallas,Trey Lewis
1,Swimming In The Stars,Britney Spears
3,Rockin' Around the Christmas Tree (Single),Brenda Lee
7,Take Me Home for Christmas,Dan + Shay
8,Holy (feat. Chance the Rapper),Justin Bieber
10,Jingle Bell Rock (Single Version),Bobby Helms
11,It's Beginning To Look a Lot Like Christmas,Michael Bublé
14,Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
15,Levitating (feat. DaBaby),Dua Lipa
17,Christmas Isn't Christmas,Dan + Shay
18,Underneath the Tree,Kelly Clarkson
19,Hallelujah,Carrie Underwood & John Legend
22,Amazing Grace (My Chains Are Gone),Pentatonix
23,positions,Ariana Grande
24,Christmas Canon,Trans-Siberian Orchestra
27,I Hope (feat. Charlie Puth),Gabby Barrett
28,The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
30,O Holy Night,Josh Groban
31,Mood (feat. iann dior),24kGoldn
33,Run Rudolph Run (Single Version),Chuck Berry
34,Last Christmas (Single Version),Wham!
38,"Mary, Did You Know?",Pentatonix
39,Under The Mistletoe,Kelly Clarkson & Brett Eldredge
41,What Christmas Means to Me,Stevie Wonder
43,Memories,One Voice Children's Choir
44,Edge of Midnight (Midnight Sky Remix) [feat. Stevie Nicks],Miley Cyrus
45,when the party's over,Billie Eilish
49,Where Are You Christmas,Faith Hill
51,WAP (feat. Megan Thee Stallion),Cardi B
52,"Holidays (feat. Earth, Wind & Fire)",Meghan Trainor
53,acting like that (feat. Machine Gun Kelly),YUNGBLUD
54,What's Your Country Song,Thomas Rhett
55,Believe,Josh Groban
56,The Good Ones,Gabby Barrett
57,It's Beginning to Look a Lot Like Christmas,Bing Crosby
58,Good as Hell,Lizzo
59,Prisoner (feat. Dua Lipa),Miley Cyrus
60,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani
61,Christmas Blues,Sabrina Claudio & The Weeknd
62,Lil Bit,Nelly & Florida Georgia Line
63,My Boy,Elvie Shane
64,you broke me first,Tate McRae
65,Happy Anywhere (feat. Gwen Stefani),Blake Shelton
66,A Holly Jolly Christmas,Burl Ives
67,Where It Stays,Charlotte OC
68,Little Drummer Boy,for KING & COUNTRY
71,Lit This Year,Florida Georgia Line
73,GOOD TIME,Niko Moon
74,Have Yourself a Merry Little Christmas,Michael Bublé
77,This Is Christmas,The Goo Goo Dolls
79,Real Shit,Juice WRLD & benny blanco
80,Let There Be Peace,Carrie Underwood
81,my ex's best friend,Machine Gun Kelly & blackbear
83,Tennessee Whiskey,Chris Stapleton
85,Got What I Got,Jason Aldean
86,Hell of a View,Eric Church
88,Stay (feat. Mikky Ekko),Rihanna
89,Do You Hear What I Hear,Whitney Houston
90,Little Drummer Boy (feat. Isaiah Fisher),Carrie Underwood
91,One of Them Girls,Lee Brice
92,Sleigh Ride,Ella Fitzgerald
93,ONE BEER (feat. Lauren Alaina & Devin Dawson),HARDY
95,DÁKITI,Bad Bunny & Jhay Cortez
96,ily (i love you baby) [feat. Emilee],Surf Mesa
97,For The Night (feat. Lil Baby & DaBaby),Pop Smoke
98,WITHOUT YOU,The Kid LAROI
99,It's the Most Wonderful Time of the Year,Andy Williams
